DR01	DR01_H25TMDSX2_19148166_S45_L002_R1_001.fastq.gz
DR01	DR01_H25TMDSX2_19148166_S45_L002_R2_001.fastq.gz
DR02	DR02_H25TMDSX2_19148168_S36_L002_R1_001.fastq.gz
DR02	DR02_H25TMDSX2_19148168_S36_L002_R2_001.fastq.gz
DR03	DR03_H25TMDSX2_19148170_S48_L002_R1_001.fastq.gz
DR03	DR03_H25TMDSX2_19148170_S48_L002_R2_001.fastq.gz
DR04	DR04_H25TMDSX2_19148172_S44_L002_R1_001.fastq.gz
DR04	DR04_H25TMDSX2_19148172_S44_L002_R2_001.fastq.gz
DR05	DR05_H25TMDSX2_19148174_S35_L002_R1_001.fastq.gz
DR05	DR05_H25TMDSX2_19148174_S35_L002_R2_001.fastq.gz
DR06	DR06_H25TMDSX2_19148176_S46_L002_R1_001.fastq.gz
DR06	DR06_H25TMDSX2_19148176_S46_L002_R2_001.fastq.gz
DR07	DR07_H25TMDSX2_19148178_S43_L002_R1_001.fastq.gz
DR07	DR07_H25TMDSX2_19148178_S43_L002_R2_001.fastq.gz
DR08	DR08_H25TMDSX2_19148180_S37_L002_R1_001.fastq.gz
DR08	DR08_H25TMDSX2_19148180_S37_L002_R2_001.fastq.gz
DR09	DR09_H25TMDSX2_19148182_S42_L002_R1_001.fastq.gz
DR09	DR09_H25TMDSX2_19148182_S42_L002_R2_001.fastq.gz
DR10	DR10_H25TMDSX2_19148184_S31_L002_R1_001.fastq.gz
DR10	DR10_H25TMDSX2_19148184_S31_L002_R2_001.fastq.gz
DR11	DR11_H25TMDSX2_19148186_S25_L002_R1_001.fastq.gz
DR11	DR11_H25TMDSX2_19148186_S25_L002_R2_001.fastq.gz
DR12	DR12_H25TMDSX2_19148188_S23_L002_R1_001.fastq.gz
DR12	DR12_H25TMDSX2_19148188_S23_L002_R2_001.fastq.gz
DR13	DR13_H25TMDSX2_19148190_S33_L002_R1_001.fastq.gz
DR13	DR13_H25TMDSX2_19148190_S33_L002_R2_001.fastq.gz
DR14	DR14_H25TMDSX2_19148192_S40_L002_R1_001.fastq.gz
DR14	DR14_H25TMDSX2_19148192_S40_L002_R2_001.fastq.gz
DR15	DR15_H25TMDSX2_19148194_S29_L002_R1_001.fastq.gz
DR15	DR15_H25TMDSX2_19148194_S29_L002_R2_001.fastq.gz
DR16	DR16_H25TMDSX2_19148196_S24_L002_R1_001.fastq.gz
DR16	DR16_H25TMDSX2_19148196_S24_L002_R2_001.fastq.gz
DR17	DR17_H25TMDSX2_19148156_S22_L002_R1_001.fastq.gz
DR17	DR17_H25TMDSX2_19148156_S22_L002_R2_001.fastq.gz
DR18	DR18_H25TMDSX2_19148158_S21_L002_R1_001.fastq.gz
DR18	DR18_H25TMDSX2_19148158_S21_L002_R2_001.fastq.gz
DR19	DR19_H25TMDSX2_19148160_S38_L002_R1_001.fastq.gz
DR19	DR19_H25TMDSX2_19148160_S38_L002_R2_001.fastq.gz
DR20	DR20_H25TMDSX2_19148162_S27_L002_R1_001.fastq.gz
DR20	DR20_H25TMDSX2_19148162_S27_L002_R2_001.fastq.gz
DR21	DR21_H25TMDSX2_19148164_S34_L002_R1_001.fastq.gz
DR21	DR21_H25TMDSX2_19148164_S34_L002_R2_001.fastq.gz
DR22	DR22_H25TMDSX2_19148198_S26_L002_R1_001.fastq.gz
DR22	DR22_H25TMDSX2_19148198_S26_L002_R2_001.fastq.gz
DR23	DR23_H25TMDSX2_19148200_S32_L002_R1_001.fastq.gz
DR23	DR23_H25TMDSX2_19148200_S32_L002_R2_001.fastq.gz
DR24	DR24_H25TMDSX2_19148202_S28_L002_R1_001.fastq.gz
DR24	DR24_H25TMDSX2_19148202_S28_L002_R2_001.fastq.gz
